Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Afghanistan,AFG,..,..,8.56190681,7.89716816,8.80596447,9.52887821,10.10534763,10.96199989,11.77723598,9.39572716,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Albania,ALB,..,7.2333703,4.79532719,5.05526161,5.38559914,5.50349331,4.89632177,4.91601992,5.01059723,5.26271439,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Algeria,DZA,..,3.48903275,5.26748085,6.00050974,6.03576279,6.54721403,6.97849178,6.60778189,6.38032866,6.2184267,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Andorra,AND,..,5.88990307,6.24652863,6.10150337,5.98780346,5.97912455,6.23245335,6.34349346,6.54431868,6.71033096,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Angola,AGO,..,1.90859938,2.64560771,2.39574957,2.73282671,2.43412876,2.60579467,2.71314979,2.79150295,2.54900527,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Antigua and Barbuda,ATG,..,4.69438457,5.44257212,5.47921419,5.50909281,5.87269974,5.27965546,5.12190151,5.17094231,5.23155928,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Argentina,ARG,..,8.46696377,9.41819859,9.82726669,9.78097916,9.67129993,10.22933769,9.00189686,10.45704365,9.62454033,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Armenia,ARM,..,4.19581175,9.37588787,9.13455009,10.32345009,10.17827797,10.1176281,9.95195866,10.36270523,10.02538967,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Australia,AUS,..,7.61383343,8.54153824,8.67564774,8.76116371,9.03597069,9.32331181,9.20071316,9.20544815,9.28459835,..,..
Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,Austria,AUT,..,9.20371437,10.02613258,10.19915581,10.28574944,10.36809254,10.36746693,10.3522625,10.38262367,10.32559872,..,..
